,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
2356,8,0,423,5.49,2.2,27.06,25.0,12113,7.55,0.41,0.0,0,2.4,Golden Valley Charter School,59.34,2016,
2357,0,0,423,0.0,1.42,76.6,70.21,7747,0.71,0.0,0.0,0,5.3,Pacific High School,27.66,2016,
2358,0,0,423,4.30712,3.37079,76.6,37.6404,8023,15.7303,0.93633,2.99625,0,5.3,Saint Bonaventure High School,35.0187,2016,
2359,0,0,423,12.1951,2.43902,76.6,2.43902,16812,0.0,2.43902,0.0,0,5.3,Solimar Academy,80.4878,2016,
2360,0,0,423,8.97436,0.641026,76.6,21.7949,10375,2.5641,0.0,0.0,0,5.3,St. Augustine Academy,66.0256,2016,
2361,0,0,423,0.0,5.88235,76.6,76.4706,31630,0.0,0.0,0.0,0,0,Ventura Christian Academy,17.6471,2016,
2362,0,0,423,3.92157,0.0,76.6,27.451,10376,0.0,1.96078,0.0,0,0,Ventura County Christian School,66.6667,2016,
2363,363,15.9,262,2.36,1.53,41.72,51.9,7756,3.33,0.74,0.23,2.4,1.8,Ventura High School,39.92,2016,
2364,67,14.1,46,7.55,1.72,8.23,15.44,25103,3.95,0.86,0.69,10.4,4.6,Da Vinci Charter Academy,69.81,2016,
2365,8,1.3,46,5.88,0.84,18.49,18.49,11222,5.04,1.68,0.0,0,4.6,Davis School For Independent Study,68.07,2016,
2366,419,33.6,940,20.14,2.2,14.8,17.59,7788,4.81,0.42,0.12,7.9,2.8,Davis Senior High School,54.72,2016,
2367,4,2.1,940,4.0,0.0,60.0,52.0,7792,4.0,0.0,0.0,0,8.2,King (Martin Luther) High (Continuation) School,40.0,2016,
2368,4,21.6,41,1.38,1.61,55.63,65.75,7814,0.92,0.69,0.0,0,8.2,Winters High School,29.66,2016,
2369,4,21.6,41,0.0,2.86,91.43,80.0,7816,0.0,0.0,0.0,0,8.2,Wolfskill High School,17.14,2016,
2370,0,2.6,41,0.0,0.0,74.0,66.0,17454,2.0,2.0,0.0,33.3,8.7,Einstein Education Center,30.0,2016,
2371,0,27.9,1053,13.9,6.9,20.6,27.26,2049,3.68,0.6,0.49,33.3,8.7,El Camino Real Senior High School,47.16,2016,
2372,0,27.9,1053,0.900901,1.8018,20.6,0.0,25480,0.0,0.0,0.0,33.3,8.7,Fusion Academy Warner Center,97.2973,2016,
2373,0,27.9,1053,4.54545,4.54545,20.6,4.54545,26495,9.09091,0.0,0.0,33.3,8.7,Futures Academy - Woodland Hills,77.2727,2016,
2374,0,27.9,1053,4.11,15.07,86.3,52.05,2424,2.74,0.0,0.0,0,2.1,Henry David Thoreau Continuation School,26.03,2016,
2375,163,19,195,7.74,1.25,60.79,63.8,12492,1.77,0.39,0.26,16.2,4,Pioneer High School,24.79,2016,
2376,292,34.4,753,8.81,11.1,61.12,37.16,2416,1.6,0.45,0.33,3.2,1.5,William Howard Taft Senior High School,40.56,2016,
2377,292,34.4,753,0.797448,2.71132,61.12,19.1388,8928,0.0,0.0,1.11643,0,0,Woodland Christian Schools,76.236,2016,
2378,167,27.4,218,3.64,1.06,63.35,67.83,7829,1.14,0.3,0.15,15.9,3.9,Woodland Senior High School,25.87,2016,
2379,0,27.4,218,10.43,4.35,41.74,47.83,12308,2.61,0.0,0.87,55.6,0,Yolo County Special Education School,33.91,2016,
2380,0,1.7,218,1.3,1.52,57.36,17.32,11226,13.64,1.3,0.22,6.2,3.5,Camptonville Academy,64.72,2016,
2381,47,9.4,5,4.79,2.39,44.41,36.44,11901,8.51,2.66,0.0,6.9,1.9,Marysville Charter Academy For The Arts,45.21,2016,
2382,47,9.4,5,2.17,6.52,84.78,45.65,32254,4.35,0.0,2.17,6.9,1.9,Marysville Community Day,39.13,2016,
2383,64,7.5,23,8.4,5.04,61.93,29.0,7773,2.35,4.82,0.45,12.5,0.4,Marysville High School,49.94,2016,
2384,0,7.5,23,0.0,3.7,88.89,40.74,17096,11.11,3.7,0.0,0,0,Thomas E. Mathews Community School,40.74,2016,
2385,58,0.5,23,0.36,0.71,91.79,31.43,11225,15.36,6.07,0.0,0,0.3,Yuba County Career Preparatory Charter School,46.07,2016,
2386,0,0.5,23,9.66,4.83,67.59,29.66,12425,1.38,3.45,0.0,11,0,Yuba County Special Education School,51.03,2016,
2387,0,0.5,23,0.0,50.0,67.59,0.0,25316,50.0,0.0,0.0,100,0,Wheatland Community Day High,0.0,2016,
2388,66,14.5,44,2.97,4.24,36.92,28.85,7785,10.33,1.13,0.57,3,2.6,Wheatland Union High School,51.91,2016,
2389,42,13.1,59,1.53,0.57,47.89,14.56,3496,8.24,4.6,0.19,6.9,2.2,Mariposa County High School,70.31,2016,
2390,0,13.1,59,0.0,2.5,72.5,20.0,12541,5.0,5.0,0.0,25,0,Special Education School,67.5,2016,
2391,0,13.1,59,0.0,0.0,72.5,6.66667,26067,0.0,6.66667,0.0,25,0,Summit Christian School,86.6667,2016,
2392,0,13.1,59,0.0,0.0,72.5,16.6667,15533,0.0,0.0,0.0,25,0,Victory Baptist Christian School,83.3333,2016,
2393,2,13.1,59,0.0,0.0,33.33,0.0,10992,16.67,0.0,8.33,0,0,Mendocino Alternative School,75.0,2016,
2394,48,29.2,38,2.6,1.56,23.96,8.85,3197,2.08,2.08,0.52,0,7.7,Mendocino High School,82.29,2016,
2395,2,29.2,38,0.0,0.0,30.0,0.0,3195,0.0,20.0,0.0,0,0,Mendocino Sunrise High School,80.0,2016,
2396,2,19.3,58,13.94,5.59,74.18,61.72,31102,0.71,0.71,0.06,0,0,El Capitan High,17.28,2016,
2397,131,21.7,127,13.17,3.67,82.69,64.34,3415,4.02,0.29,0.06,7.6,0.3,Golden Valley High School,14.45,2016,
2398,131,21.7,127,0.0,12.2449,82.69,63.2653,13402,0.0,0.0,0.0,7.6,0.3,Harvest Christian School,24.4898,2016,
2399,2,0,127,0.0,4.08,93.88,65.31,10998,0.0,0.0,0.0,51.5,2.5,Independence High (Alternative) School,30.61,2016,
2400,226,16.7,225,11.72,7.15,74.91,59.32,3417,1.23,0.76,0.18,9.1,0.7,Merced High School,19.64,2016,
2401,0,1.8,225,0.93,3.74,59.81,68.22,13746,3.74,0.0,0.0,0,0,Merced Scholars Charter School,23.36,2016,
