Year,CDS_CODE,COUNTY,DISTRICT,SCHOOL,Charter,Latitude,Longitude,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,(%)FRPM,American Indian or Alaska Native,Asian,Pacific Islander,Filipino,Hispanic or Latino,African American,White,Two or More Races,AvgScr
2014,12755151232206,Humboldt,Eureka City Schools,Eureka Senior High,N,40.790302,-124.15887,253.0,37.0,21.0,20.0,22.0,21.0,18.0,48.65,46.65508253692441,0.04743083003952569,0.16600790513833993,0.011857707509881422,0.007905138339920948,0.11857707509881422,0.019762845849802372,0.5335968379446641,0.043478260869565216,21.0
2014,13630811331404,Imperial,Brawley Union High,Brawley High,N,32.982858,-115.53491,333.0,95.0,20.0,21.0,21.0,20.0,44.0,46.32,67.63142350856468,0.0,0.006006006006006006,0.0,0.003003003003003003,0.8288288288288288,0.006006006006006006,0.13813813813813813,0.009009009009009009,20.5
2014,13630991332204,Imperial,Calexico Unified,Calexico High,N,32.676996,-115.48715,642.0,98.0,17.0,18.0,20.0,19.0,28.0,28.57,81.80579216354344,0.001557632398753894,0.00778816199376947,0.0,0.001557632398753894,0.9890965732087228,0.0,0.0,0.0,18.5
2014,13631071332501,Imperial,Calipatria Unified,Calipatria High,N,33.125676,-115.52595,61.0,13.0,20.0,20.0,20.0,21.0,8.0,61.54,70.53571428571429,0.0,0.01639344262295082,0.0,0.01639344262295082,0.8688524590163934,0.0,0.09836065573770492,0.0,20.25
2014,13631151330133,Imperial,Central Union High,Southwest High,N,32.777331,-115.57838,433.0,101.0,18.0,20.0,21.0,19.0,39.0,38.61,71.47132169576061,0.0,0.023094688221709007,0.0023094688221709007,0.0,0.9122401847575058,0.0023094688221709007,0.05542725173210162,0.004618937644341801,19.5
2014,13631151333004,Imperial,Central Union High,Central Union High,N,32.789682,-115.56357,389.0,118.0,19.0,20.0,20.0,20.0,46.0,38.98,73.36497890295358,0.007712082262210797,0.007712082262210797,0.0,0.0,0.9074550128534704,0.02056555269922879,0.05398457583547558,0.002570694087403599,19.75
2014,13631491335306,Imperial,Holtville Unified,Holtville High,N,32.815742,-115.38522,107.0,21.0,18.0,20.0,20.0,20.0,8.0,38.1,62.94117647058823,0.0,0.0,0.0,0.0,0.8504672897196262,0.0,0.14953271028037382,0.0,19.5
2014,13631641335900,Imperial,Imperial Unified,Imperial High,N,32.847544,-115.57508,207.0,57.0,20.0,21.0,22.0,20.0,33.0,57.89,44.78301015697138,0.0,0.00966183574879227,0.0,0.0,0.7536231884057971,0.03864734299516908,0.1932367149758454,0.004830917874396135,20.75
2014,14766871431600,Inyo,Bishop Unified,Bishop Union High,N,37.363134,-118.39827,177.0,36.0,25.0,25.0,25.0,24.0,28.0,77.78,41.82908545727136,0.0903954802259887,0.011299435028248588,0.0,0.005649717514124294,0.2711864406779661,0.0,0.5649717514124294,0.04519774011299435,24.75
2014,15101570119669,Kern,Kern County Office of Education,Paramount Academy,Y,35.784717,-119.21226,53.0,12.0,15.0,16.0,17.0,17.0,1.0,8.33,89.80263157894737,0.0,0.05660377358490566,0.0,0.07547169811320754,0.8490566037735849,0.018867924528301886,0.0,0.0,16.25
