Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,S,Vintage High,Napa Valley Unified,Napa,414,54,25.0,26.0,24.0,24.0,42,77.78
2014,S,New Technology High,Napa Valley Unified,Napa,97,25,25.0,27.0,21.0,22.0,20,80.0
2014,S,Napa High,Napa Valley Unified,Napa,382,70,23.0,23.0,24.0,23.0,50,71.43
2014,D,,Saint Helena Unified,Napa,127,60,23.0,23.0,22.0,22.0,38,63.33
2014,S,Saint Helena High,Saint Helena Unified,Napa,127,60,23.0,23.0,22.0,22.0,38,63.33
2014,C,,,Nevada,2603,147,25.0,26.0,25.0,24.0,124,84.35
2014,D,,Cloverdale Unified,Sonoma,119,17,20.0,20.0,21.0,21.0,7,41.18
2014,S,Cloverdale High,Cloverdale Unified,Sonoma,103,17,20.0,20.0,21.0,21.0,7,41.18
2014,D,,Petaluma Joint Union High,Sonoma,754,138,24.0,25.0,25.0,24.0,110,79.71
2014,S,Casa Grande High,Petaluma Joint Union High,Sonoma,388,75,24.0,25.0,26.0,24.0,63,84.0
2014,S,Petaluma High,Petaluma Joint Union High,Sonoma,283,63,24.0,25.0,24.0,24.0,47,74.6
2014,D,,Roseland,Sonoma,85,67,16.0,17.0,17.0,17.0,4,5.97
2014,S,Roseland Charter,Roseland,Sonoma,85,67,16.0,17.0,17.0,17.0,4,5.97
2014,D,,Santa Rosa High,Sonoma,1969,313,25.0,25.0,26.0,24.0,250,79.87
2014,S,Elsie Allen High,Santa Rosa High,Sonoma,239,25,20.0,21.0,21.0,21.0,15,60.0
2014,S,Maria Carrillo High,Santa Rosa High,Sonoma,397,101,27.0,26.0,28.0,25.0,86,85.15
2014,S,Montgomery High,Santa Rosa High,Sonoma,418,69,25.0,26.0,26.0,25.0,57,82.61
2014,S,Piner High,Santa Rosa High,Sonoma,177,29,21.0,21.0,23.0,21.0,17,58.62
2014,S,Santa Rosa High,Santa Rosa High,Sonoma,441,89,26.0,26.0,26.0,24.0,75,84.27
2014,D,,Sonoma Valley Unified,Sonoma,330,110,22.0,23.0,23.0,22.0,73,66.36
2014,S,Sonoma Valley High,Sonoma Valley Unified,Sonoma,313,110,22.0,23.0,23.0,22.0,73,66.36
